
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
[ERROR] 2025-06-08 12:15:53: Error loading test data: Starting point must be one of: ['none', 'desktop', 'point_A', 'point_B', 'point_C']
